
itemID: 1
Date,WARN,RuntimeException,transport error,AccessDeniedException,404,UnknownHostException,RemoteException
2017-Aug-18 06H,0,0,1,0,0,0,0
2017-Aug-18 07H,6,6,2,1,11,18,18
2017-Aug-18 08H,2,2,2,8,3,6,6
2017-Aug-18 09H,0,0,2,3,21,0,0
2017-Aug-18 10H,0,0,2,7,4,0,0
2017-Aug-18 11H,0,0,2,1,2,0,0
2017-Aug-18 12H,0,0,2,1,0,0,0
2017-Aug-18 13H,0,0,2,0,0,0,0
2017-Aug-18 14H,0,0,2,0,0,0,0
2017-Aug-18 15H,0,0,2,0,0,0,0
2017-Aug-18 16H,0,0,2,0,0,0,0
2017-Aug-18 17H,0,0,2,0,0,0,0
2017-Aug-18 18H,0,0,2,0,0,0,0
2017-Aug-18 19H,0,0,2,0,0,0,0
2017-Aug-18 20H,0,0,2,0,0,0,0
2017-Aug-18 21H,0,0,2,0,0,0,0
2017-Aug-18 22H,0,0,2,0,0,0,0
2017-Aug-18 23H,0,0,2,0,0,0,0
2017-Aug-19 00H,0,0,2,0,0,0,0
2017-Aug-19 01H,0,0,2,0,0,0,0
2017-Aug-19 02H,0,0,2,0,0,0,0
2017-Aug-19 03H,0,0,2,0,0,0,0
2017-Aug-19 04H,0,0,2,0,0,0,0
2017-Aug-19 05H,0,0,2,0,0,0,0
2017-Aug-19 06H,0,0,2,0,0,0,0
itemID: 2
Date,WARN,RuntimeException,transport error,AccessDeniedException,404,UnknownHostException,RemoteException
2017-Aug-18 06H,0,0,1,0,0,0,0
2017-Aug-18 07H,6,6,2,1,11,18,18
2017-Aug-18 08H,2,2,2,8,3,6,6
2017-Aug-18 09H,0,0,2,3,21,0,0
2017-Aug-18 10H,0,0,2,7,4,0,0
2017-Aug-18 11H,0,0,2,1,2,0,0
2017-Aug-18 12H,0,0,2,1,0,0,0
2017-Aug-18 13H,0,0,2,0,0,0,0
2017-Aug-18 14H,0,0,2,0,0,0,0
2017-Aug-18 15H,0,0,2,0,0,0,0
2017-Aug-18 16H,0,0,2,0,0,0,0
2017-Aug-18 17H,0,0,2,0,0,0,0
2017-Aug-18 18H,0,0,2,0,0,0,0
2017-Aug-18 19H,0,0,2,0,0,0,0
2017-Aug-18 20H,0,0,2,0,0,0,0
2017-Aug-18 21H,0,0,2,0,0,0,0
2017-Aug-18 22H,0,0,2,0,0,0,0
2017-Aug-18 23H,0,0,2,0,0,0,0
2017-Aug-19 00H,0,0,2,0,0,0,0
2017-Aug-19 01H,0,0,2,0,0,0,0
2017-Aug-19 02H,0,0,2,0,0,0,0
2017-Aug-19 03H,0,0,2,0,0,0,0
2017-Aug-19 04H,0,0,2,0,0,0,0
2017-Aug-19 05H,0,0,2,0,0,0,0
2017-Aug-19 06H,0,0,2,0,0,0,0
